,Marketing_name,Memory,Grade,Price
218,iPhone SE (第 2 世代),64GB,A,23500
219,iPhone SE (第 2 世代),64GB,A,23500
220,iPhone SE (第 2 世代),64GB,A,23500
221,iPhone SE (第 2 世代),64GB,A,23500
222,iPhone SE (第 2 世代),64GB,A,23500
223,iPhone SE (第 2 世代),64GB,A,23500
224,iPhone SE (第 2 世代),64GB,A,23500
225,iPhone SE (第 2 世代),64GB,A,23500
226,iPhone SE (第 2 世代),64GB,A,23500
227,iPhone SE (第 2 世代),64GB,A,23500
228,iPhone SE (第 2 世代),64GB,A,23500
229,iPhone SE (第 2 世代),64GB,A,23500
230,iPhone SE (第 2 世代),64GB,A,23500
231,iPhone SE (第 2 世代),64GB,A,23500
232,iPhone SE (第 2 世代),64GB,A,23500
233,iPhone SE (第 2 世代),64GB,A,23500
234,iPhone SE (第 2 世代),64GB,A,23500
235,iPhone SE (第 3 世代),64GB,A,44400
236,iPhone SE (第 2 世代),64GB,A,23500
237,iPhone 14,128GB,A,82600
238,iPhone XR,64GB,A,26800
239,iPhone 12 mini,64GB,A,35400
240,iPhone 11 Pro Max,64GB,A,56500
241,iPhone SE (第 2 世代),128GB,A,30900
242,iPhone 13 Pro Max,512GB,A,117700
243,iPhone 14,128GB,A,82600
244,iPhone 6s,64GB,A,13300
245,iPhone 14 Pro Max,128GB,A,127500
246,iPhone SE (第 2 世代),64GB,A,23500
247,iPhone SE (第 2 世代),64GB,A,23500
248,iPhone SE (第 2 世代),64GB,A,23500
249,iPhone SE (第 2 世代),64GB,A,23500
250,iPhone SE (第 2 世代),64GB,A,23500
251,iPhone SE (第 2 世代),64GB,A,23500
252,iPhone SE (第 2 世代),64GB,A,23500
253,iPhone SE (第 2 世代),64GB,A,23500
254,iPhone SE (第 2 世代),64GB,A,23500
255,iPhone SE (第 2 世代),64GB,A,23500
256,iPhone SE (第 2 世代),64GB,A,23500
257,iPhone SE (第 2 世代),64GB,A,23500
258,iPhone SE (第 2 世代),64GB,A,23500
259,iPhone SE (第 2 世代),64GB,A,23500
260,iPhone SE (第 2 世代),64GB,A,23500
261,iPhone 13 mini,128GB,A,60500
262,iPhone 13 mini,128GB,A,60500
263,iPhone 13 mini,128GB,A,60500
264,iPhone 13 mini,128GB,A,60500
265,iPhone 13 mini,128GB,A,60500
266,iPhone SE (第 2 世代),64GB,A,23500
267,iPhone SE (第 2 世代),64GB,A,23500
268,iPhone SE (第 2 世代),64GB,A,23500
269,iPhone XR,64GB,A,26800
270,iPhone 14 Plus,128GB,A,90600
271,iPhone SE (第 3 世代),64GB,A,44400
272,iPhone SE (第 3 世代),64GB,A,44400
273,iPhone 12 mini,64GB,A,35400
274,iPhone 12 mini,64GB,A,35400
275,iPhone SE (第 2 世代),64GB,A,23500
276,iPhone 12 mini,64GB,A,35400
277,iPhone 12 mini,64GB,A,35400
278,iPhone 12 mini,64GB,A,35400
279,iPhone 12 mini,64GB,A,35400
280,iPhone 13 mini,128GB,A,59800
281,iPhone 13 Pro Max,128GB,A,96800
282,iPhone 13 mini,128GB,A,59800
283,iPhone 13 mini,128GB,A,59800
284,iPhone 13 mini,128GB,A,59800
285,iPhone 14 Pro Max,128GB,A,126600
286,iPhone 13 mini,128GB,A,59800
287,iPhone 13 mini,128GB,A,59800
288,iPhone 13 mini,128GB,A,59800
289,iPhone 14 Plus,128GB,A,89800
290,iPhone 14 Plus,128GB,A,89800
291,iPhone 14 Pro Max,256GB,A,136800
292,iPhone 14,128GB,A,81800
293,iPhone 14,512GB,A,100500
294,iPhone 13 mini,128GB,A,59800
295,iPhone 14 Pro Max,512GB,A,142800
296,iPhone 14 Pro Max,512GB,A,142800
297,iPhone 14 Pro Max,512GB,A,142800
298,iPhone 13 mini,128GB,A,59800
299,iPhone 14 Plus,256GB,A,94800
300,iPhone 13 mini,128GB,A,59800
301,iPhone 14,128GB,A,81800
302,iPhone 11 Pro,64GB,A,42800
303,iPhone 13 mini,128GB,A,59800
304,iPhone 13 mini,128GB,A,59800
305,iPhone 13 mini,128GB,A,59800
306,iPhone 13 mini,128GB,A,59800
307,iPhone 13 mini,128GB,A,59800
308,iPhone 13 mini,128GB,A,59800
309,iPhone 13 mini,128GB,A,59800
310,iPhone 13 mini,128GB,A,59800
311,iPhone 13 mini,128GB,A,59800
312,iPhone 13 mini,128GB,A,59800
313,iPhone 13 mini,128GB,A,59800
314,iPhone 13 mini,128GB,A,59800
315,iPhone 13 mini,128GB,A,59800
316,iPhone 13 mini,128GB,A,59800
317,iPhone 13 mini,128GB,A,59800
318,iPhone 13 mini,128GB,A,59800
319,iPhone 13 mini,128GB,A,59800
320,iPhone 13 mini,128GB,A,59800
321,iPhone 13 mini,128GB,A,59800
322,iPhone 13 mini,128GB,A,59800
323,iPhone 13 mini,128GB,A,59800
324,iPhone 13 mini,128GB,A,59800
325,iPhone 13 mini,128GB,A,59800
326,iPhone 13 mini,128GB,A,59800
327,iPhone 13 mini,128GB,A,59800
328,iPhone 13 mini,128GB,A,59800
329,iPhone 13 mini,128GB,A,59800
330,iPhone 6s,32GB,A,9900
331,iPhone 14 Pro,128GB,A,100800
332,iPhone SE (第 3 世代),64GB,A,43800
333,iPhone SE (第 3 世代),64GB,A,43800
334,iPhone SE (第 3 世代),64GB,A,43800
335,iPhone SE (第 3 世代),64GB,A,43800
336,iPhone SE (第 3 世代),64GB,A,43800
337,iPhone SE (第 3 世代),64GB,A,43800
338,iPhone SE (第 3 世代),64GB,A,43800
339,iPhone 14 Pro,256GB,A,117800
340,iPhone 12 mini,64GB,A,34800
341,iPhone 12 mini,64GB,A,34800
342,iPhone XR,128GB,A,29300
343,iPhone XS Max,256GB,A,44300
344,iPhone 13 Pro Max,128GB,A,96800
345,iPhone 13 Pro,128GB,A,84000
346,iPhone 13 Pro,128GB,A,84000
347,iPhone 14 Pro Max,128GB,A,126600
348,iPhone 13 mini,128GB,A,59800
349,iPhone 13 Pro Max,128GB,A,96800
350,iPhone 13 mini,128GB,A,59800
351,iPhone 13 mini,128GB,A,59800
352,iPhone 13 mini,128GB,A,59800
353,iPhone 6s,64GB,A,12800
354,iPhone 12 Pro Max,128GB,A,84800
355,iPhone 14,128GB,A,81800
356,iPhone 14,128GB,A,81800
357,iPhone SE (第 3 世代),64GB,A,43800
358,iPhone 15,128GB,A,100800
359,iPhone 14,128GB,A,81800
360,iPhone SE (第 3 世代),64GB,A,43800
361,iPhone SE (第 3 世代),64GB,A,43800
362,iPhone 11 Pro,512GB,A,62000
363,iPhone 13 mini,128GB,A,59800
364,iPhone 13 mini,128GB,A,59800
365,iPhone SE (第 3 世代),64GB,A,43800
366,iPhone 13 Pro Max,128GB,A,96800
367,iPhone SE (第 3 世代),64GB,A,43800
368,iPhone 13 Pro,128GB,A,84000
369,iPhone 13 Pro,128GB,A,84000
370,iPhone SE (第 3 世代),64GB,A,43800
371,iPhone SE (第 2 世代),64GB,A,23000
372,iPhone 13 mini,128GB,A,59800
373,iPhone 13 mini,128GB,A,59800
374,iPhone 13 mini,128GB,A,59800
